gene	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
MICALL2	CD44	7	172	-0.45	-0.1803	-0.2697	0.39393508718503345	0.9962269014109203	False
F13A1	CD44	6	173	-2.1432	-0.1798	-1.9634	0.06496754135211126	0.9962269014109203	False
PKP2	CD44	6	173	-1.122	-0.1724	-0.9496	0.16349863810949003	0.9962269014109203	False
PKP2	CHI3L1	6	173	-2.383	0.1726	-2.5556	0.04928198826798505	0.9962269014109203	False
PTPRD	CHI3L1	7	172	-1.0398	0.166	-1.2057	0.14638838859976885	0.9962269014109203	False
RBM47	CD44	5	174	-0.8116	-0.1803	-0.6313	0.2734628049344375	0.9962269014109203	False
RBM47	CHI3L1	5	174	1.0381	0.1231	0.9149	0.3997755716088698	0.9962269014109203	False
TRIM42	CHI3L1	5	174	-0.943	0.166	-1.109	0.21623900357325979	0.9962269014109203	False
ATM	CHI3L1	16	163	0.912	0.1107	0.8013	0.1946846527989109	0.9962269014109203	False
VN1R4	CD44	9	170	-0.5179	-0.1761	-0.3417	0.33352198813976053	0.9962269014109203	False
VN1R4	CHI3L1	9	170	-0.4048	0.166	-0.5707	0.38537826768390104	0.9962269014109203	False
PRAMEF2	CHI3L1	6	173	2.0869	0.1356	1.9513	0.35116949093605665	0.9962269014109203	False
TMEM131	CD44	10	169	0.8071	-0.2227	1.0298	0.16416946831569212	0.9962269014109203	False
TMEM131	CHI3L1	10	169	-0.8718	0.1594	-1.0312	0.19681026664882284	0.9962269014109203	False
NEMF	CD44	6	173	-0.8491	-0.1798	-0.6693	0.37644377372546145	0.9962269014109203	False
NEMF	CHI3L1	6	173	1.8667	0.1356	1.7311	0.3982959584168496	0.9962269014109203	False
CEP170B	CD44	11	168	1.3908	-0.1904	1.5812	0.31151267325109133	0.9962269014109203	False
KMT2C	CHI3L1	19	160	1.1736	0.1452	1.0285	0.3311959454605986	0.9962269014109203	False
LRCH3	CD44	8	171	-0.5978	-0.1798	-0.418	0.4311681842962508	0.9962269014109203	False
LRCH3	CHI3L1	8	171	1.2136	0.1356	1.078	0.2590194387618406	0.9962269014109203	False
BTBD7	CHI3L1	5	174	-0.943	0.166	-1.109	0.141509063692335	0.9962269014109203	False
EIF2D	CD44	6	173	-1.0177	-0.1724	-0.8452	0.047309237714969386	0.9962269014109203	False
EIF2D	CHI3L1	6	173	-0.8419	0.2217	-1.0636	0.058974404521641564	0.9962269014109203	False
USP29	CHI3L1	5	174	-0.943	0.157	-1.1	0.4144813038033697	0.9962269014109203	False
HLA-A	CHI3L1	5	174	-0.943	0.166	-1.109	0.12729029422545637	0.9962269014109203	False
ATP2B2	CD44	9	170	0.8239	-0.2113	1.0353	0.22832704879820187	0.9962269014109203	False
ATP2B2	CHI3L1	9	170	-0.7039	0.166	-0.8699	0.3710901126413476	0.9962269014109203	False
A2ML1	CD44	6	173	1.017	-0.2227	1.2397	0.04003357940552243	0.9962269014109203	False
A2ML1	CHI3L1	6	173	0.8305	0.1107	0.7198	0.41174744293758325	0.9962269014109203	False
PLCG2	CD44	6	173	2.0062	-0.2227	2.2289	0.08892914593171262	0.9962269014109203	False
