pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	CHI3L1	21	158	-0.4048	0.157	-0.5618	0.7759229887666312	0.9958970300880995	False
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	CD44	21	158	-0.008	-0.1904	0.1824	0.3185962086985332	0.9958970300880995	False
R-HSA-170968	Frs2-mediated activation	CHI3L1	9	170	-0.4048	0.157	-0.5618	0.498659258049882	0.9958970300880995	False
R-HSA-170968	Frs2-mediated activation	CD44	9	170	-0.5185	-0.1761	-0.3424	0.8096047957615748	0.9958970300880995	False
R-HSA-5675221	Negative regulation of MAPK pathway	CHI3L1	23	156	-0.6445	0.1972	-0.8417	0.40666758426758187	0.9958970300880995	False
R-HSA-5675221	Negative regulation of MAPK pathway	CD44	23	156	0.135	-0.2113	0.3464	0.3710919807138964	0.9958970300880995	False
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	CHI3L1	26	153	-0.4483	0.1726	-0.6209	0.6658204290807608	0.9958970300880995	False
R-HSA-73863	RNA Polymerase I Transcription Termination	CD44	5	174	0.7903	-0.1904	0.9807	0.5596354383385107	0.9958970300880995	False
R-HSA-9656223	Signaling by RAF1 mutants	CHI3L1	20	159	0.2349	0.1547	0.0802	0.5905801262175765	0.9958970300880995	False
R-HSA-9656223	Signaling by RAF1 mutants	CD44	20	159	0.2024	-0.2	0.4024	0.1990295664999241	0.9958970300880995	False
R-HSA-73772	RNA Polymerase I Promoter Escape	CHI3L1	6	173	0.1172	0.1547	-0.0374	0.8359384580856594	0.9958970300880995	False
R-HSA-2173788	Downregulation of TGF-beta receptor signaling	CD44	22	157	0.5308	-0.2227	0.7535	0.1987757962180018	0.9958970300880995	False
R-HSA-9770562	mRNA Polyadenylation	CHI3L1	52	127	-0.287	0.3971	-0.6842	0.31308226692205854	0.9958970300880995	False
R-HSA-9770562	mRNA Polyadenylation	CD44	52	127	-0.0902	-0.2	0.1098	0.6924243942748075	0.9958970300880995	False
R-HSA-9931530	Phosphorylation and nuclear translocation of the CRY:PER:kinase complex	CHI3L1	18	161	1.0241	0.1356	0.8884	0.43574608557344274	0.9958970300880995	False
R-HSA-9931530	Phosphorylation and nuclear translocation of the CRY:PER:kinase complex	CD44	18	161	0.0701	-0.1808	0.2509	0.7316477108045683	0.9958970300880995	False
R-HSA-9828806	Maturation of hRSV A proteins	CHI3L1	14	165	-0.586	0.2217	-0.8077	0.3625167390771198	0.9958970300880995	False
R-HSA-9828806	Maturation of hRSV A proteins	CD44	14	165	-0.9892	-0.1488	-0.8404	0.028978400817675623	0.9958970300880995	False
R-HSA-163560	Triglyceride catabolism	CHI3L1	9	170	-0.64	0.1972	-0.8372	0.1968797844032515	0.9958970300880995	False
R-HSA-163560	Triglyceride catabolism	CD44	9	170	-0.9665	-0.1761	-0.7904	0.3015786583101566	0.9958970300880995	False
R-HSA-112411	MAPK1 (ERK2) activation	CHI3L1	20	159	-0.094	0.1594	-0.2534	0.8708780063664431	0.9958970300880995	False
R-HSA-73772	RNA Polymerase I Promoter Escape	CD44	6	173	1.6298	-0.2	1.8298	0.2156254430184622	0.9958970300880995	False
R-HSA-5654727	Negative regulation of FGFR2 signaling	CHI3L1	24	155	-0.4684	0.2217	-0.6901	0.5103556625871926	0.9958970300880995	False
R-HSA-5654727	Negative regulation of FGFR2 signaling	CD44	24	155	0.4018	-0.2227	0.6245	0.569095638582711	0.9958970300880995	False
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	CHI3L1	19	160	-0.532	0.303	-0.835	0.21203083968916503	0.9958970300880995	False
R-HSA-9845576	Glycosphingolipid transport	CHI3L1	7	172	-0.2085	0.157	-0.3655	0.7679832254109434	0.9958970300880995	False
R-HSA-389513	Co-inhibition by CTLA4	CHI3L1	25	154	-0.4048	0.303	-0.7078	0.5148942056044817	0.9958970300880995	False
R-HSA-389513	Co-inhibition by CTLA4	CD44	25	154	0.135	-0.2248	0.3598	0.624879150846561	0.9958970300880995	False
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	CHI3L1	42	137	-0.3066	0.3844	-0.691	0.3844743598257263	0.9958970300880995	False
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	CD44	42	137	-0.2107	-0.1808	-0.0299	0.7017699850848942	0.9958970300880995	False
R-HSA-111367	SLBP independent Processing of Histone Pre-mRNAs	CHI3L1	8	171	0.912	0.1356	0.7763	0.3802716585582032	0.9958970300880995	False
